text,label
tyre replacement vehicle,Transport
battery replacement bike,Transport
clothes ironing dhobi,Personal
cobbler shoe repair,Personal
pest control home service,Personal
home cleaning service,Personal
plumber repair charges,Personal
electricity meter reading payment,Utilities
lpg gas connection renewal,Utilities
inverter battery replacement,Utilities
ro water purifier service,Utilities
ac service maintenance,Utilities
phone repair screen fix,Shopping
laptop bag purchase,Shopping
desk organizer amazon,Shopping
water bottle purchase,Shopping
earphones replacement,Shopping
streaming service mubi,Entertainment
magazine subscription digital,Entertainment
newspaper digital edition,Entertainment
podcast premium membership,Entertainment
ott platform discovery plus,Entertainment
ambulance charges emergency,Health
covid test rt pcr,Health
vaccination fee booster dose,Health
weight scale purchase,Health
resistance bands exercise,Health
flat purchase stamp duty,EMI
plot emi monthly,EMI
commercial property emi,EMI
renovated loan payment,EMI
loan interest payment,EMI
paytm money fund transfer,Investments
angel one stock trade,Investments
coin by zerodha sip,Investments
et money investment,Investments
smallcase portfolio purchase,Investments
workshop fee offline class,Education
conference registration fee,Education
journal subscription academic,Education
thesis printing binding,Education
research paper access fee,Education
